name,community
136.23_25.6,5
137.79_23.22,5
137.84_31.55,3
141.01_35.54,3
141.17_25.49,3
141.6_30.28,3
144.1_32.03,3
145.12_37.8,3
145.25_35.09,3
145.41_26.8,4
146.81_33.73,3
147.17_30.48,5
148.67_37.92,3
150.61_39.99,3
151.01_33.88,3
151.52_30.01,3
152.4_37.14,3
152.5_31.16,2
154.66_29.92,3
155.27_31.49,3
156.21_34.52,3
157.45_37.78,3
158.76_29.84,3
159.08_40.8,3
160.46_29.65,3
160.9_37.16,3
163.65_34.55,3
163.96_40.01,3
164.74_29.04,3
166.12_17.58,3
166.15_22,3
166.16_27.25,5
166.95_43.05,3
168.19_17.51,3
168.78_21.97,3
168.88_31.57,3
169.86_24.01,3
169.93_43.15,3
170.05_13.52,3
170.31_18.78,3
171.13_14.72,3
171.2_17.58,3
171.34_18.48,3
171.35_15.76,3
172.28_48.92,3
172.86_17.26,3
172.98_29.34,3
173.07_36.64,3
173.38_40.84,3
173.46_24.04,3
174.05_44.23,3
175.4_33.36,3
175.68_24.61,3
176.36_27.45,3
176.81_20.29,3
176.89_36.39,3
177.18_39.4,3
177.33_52.86,3
177.38_34.12,3
177.46_25.76,3
177.55_47.85,3
177.64_24.22,3
177.68_28.78,3
178.14_34.91,3
178.23_31.99,3
178.5_58.5,3
178.71_34.91,3
179.36_42.79,3
179.47_46.29,3
179.73_61.3,3
180.05_59.61,3
180.17_36.38,3
180.76_32.3,5
180.78_32.9,3
181.38_39.67,3
181.62_51.1,3
182.43_31.9,3
182.46_45.04,3
183.63_56.55,3
184.03_45.93,3
184.16_61.87,3
184.64_51,3
184.98_36.11,3
185.61_46.49,3
185.8_32.28,3
186.15_41.8,3
186.52_69.76,3
186.88_44.8,3
186.97_39.37,3
187.25_66.22,3
187.29_36.34,3
187.35_73.62,3
187.37_60.63,3
188.14_40.88,3
188.17_43.2,3
188.22_40.34,3
189.05_52.15,3
189.28_56.29,3
189.55_70.04,3
190.05_48.1,3
190.09_41.7,3
190.52_75.29,4
190.61_44.54,3
191.36_70.76,3
191.94_63.06,3
192.41_45.15,3
192.69_40.88,3
192.97_48.36,3
193.45_70.95,3
193.71_48.49,3
194.04_76.54,3
194.12_45.32,3
195.14_48.44,3
195.19_58.25,3
195.34_53.89,3
196.28_77.6,3
196.31_42.31,3
196.45_65.68,3
197.97_70.4,3
198.05_47.07,3
198.68_52.55,3
198.84_60.6,3
199.38_42.65,3
199.54_64.91,3
199.67_79.7,3
200.21_71.64,3
200.96_45.81,3
201.93_71.56,3
202.01_53.67,3
202.3_77,3
204.01_64.32,3
204.22_59.36,3
204.92_67.81,5
205.48_72.89,3
205.79_82.42,3
205.88_54.05,3
206.7_75.94,3
206.71_87.25,3
207.63_66.65,3
207.77_70.61,3
207.98_79.07,3
208.06_85.79,1
208.08_59.54,3
208.53_63.87,3
209.01_54.06,3
209.15_89.11,3
209.46_90.51,3
209.7_83.21,3
210.1_91.69,3
210.22_59.99,5
210.98_88.16,3
211.17_55.58,3
211.25_52.41,3
212.13_68.22,3
212.27_60.52,3
212.31_82.44,3
212.36_74.18,3
212.4_78.38,3
213.27_92.23,3
213.37_89.82,3
213.5_145.46,3
214.41_73.39,3
214.63_56.04,3
214.69_52.42,3
215.31_63.51,3
215.36_68.9,3
215.57_86.26,3
215.66_60.07,3
215.88_96.15,1
216.64_91.31,3
217_75.4,3
218.06_58.29,3
218.64_52.13,3
218.7_70.45,3
219.21_84.67,3
219.44_91.36,3
219.54_62.62,3
220.31_79.91,3
220.41_99.92,3
220.53_88.24,3
220.6_55.02,3
220.67_95.5,3
221.99_107.73,3
222.1_105.64,3
222.66_58.19,3
222.77_93.88,3
222.82_92.62,3
222.93_102.75,3
223.02_90,3
223.03_52.45,3
223.05_114.71,3
223.22_85.09,3
223.41_88.16,3
223.47_62.73,1
223.63_118.05,3
224.18_96.77,3
224.19_70.47,1
224.27_60.86,3
224.91_53.38,3
224.94_111.18,3
224.94_65.27,3
225.54_53.72,3
225.79_51.44,3
226_83.77,3
226.02_122.65,3
226.05_106.32,3
226.25_86.86,3
226.27_102.19,3
226.76_76.84,3
226.81_91.04,3
226.91_98.88,3
227.25_80.32,3
227.59_57.79,3
228.03_55.38,3
228.55_63.54,3
228.66_103.24,3
229.25_73.82,3
229.36_84.3,3
229.41_99.82,3
229.79_107.8,3
230.3_93.09,3
230.33_96.77,1
230.69_81.78,3
230.74_114.82,3
230.79_110.78,3
231.22_102.84,3
231.29_68.51,3
231.31_123.48,3
231.32_86.07,3
232.54_84.04,3
232.71_58.02,3
232.97_64.27,3
233.18_84.81,2
233.19_120.2,3
233.24_88.63,3
233.27_71.62,3
233.37_83.24,3
234.06_92.78,3
234.16_105.84,3
234.16_96.35,2
234.25_78.74,3
234.34_99.13,3
234.52_94.68,3
234.53_84.13,3
234.84_111.44,3
234.99_94.39,3
235.53_115.46,3
235.65_91.46,3
235.82_82.6,3
236.11_69.45,3
236.46_55.06,3
236.47_61.14,3
236.66_74.52,3
236.8_66.44,3
236.95_58.6,5
237.21_117.32,3
237.42_62.9,3
237.72_102.59,3
237.8_113.21,3
238_79.24,3
238.19_81.06,3
238.21_121.54,3
238.35_93.11,3
238.48_85.13,3
238.51_64.29,3
238.67_110.64,3
238.7_105.36,3
238.75_108.17,3
238.94_114.91,3
239.15_98.53,3
239.55_115.09,3
239.98_62,3
240.05_91.68,3
240.06_67.47,3
240.17_58.82,3
240.33_81.93,3
240.34_124.37,3
240.35_116.97,3
240.66_53.25,3
240.74_52.22,3
240.77_114.31,3
240.88_54.69,3
241.25_53.24,1
241.27_118.65,3
241.37_112.62,3
241.38_70.66,1
241.53_105.64,3
241.58_76.33,3
