name,community
10065,8
10068,8
10069,8
10070,8
10071,8
10072,8
10079,2
10080,2
10085,2
10096,2
10098,2
10099,2
10100,2
10104,1
10105,1
10107,1
10134,1
10141,1
10142,1
10144,1
10145,1
10146,1
10147,1
10148,1
10153,1
10154,1
10155,1
10156,1
10157,1
10158,1
10160,1
10161,1
10162,1
10164,1
10165,1
10166,1
10167,1
10168,1
10169,1
10170,1
10171,1
10172,1
10173,1
10174,1
10175,1
10177,1
10178,1
10179,1
10180,1
10181,1
10182,1
10183,1
10184,1
10185,1
10187,1
10188,1
10189,1
10193,1
10198,1
10202,1
10208,9
10242,1
10244,1
10253,1
10254,1
10255,1
10256,1
10258,1
10260,1
10261,1
10263,1
10264,1
10266,1
10267,1
10268,1
10269,1
10270,1
10271,1
10272,1
10273,1
10275,1
10276,1
10277,1
10278,1
10279,1
10280,1
10281,6
10282,1
10284,1
10287,1
10290,1
10291,1
10294,1
10296,1
10297,1
10298,1
10299,1
10300,1
10301,1
10302,1
10303,1
10304,1
10305,1
10309,1
10310,1
10312,1
10315,7
10317,1
10318,1
10319,1
10320,1
10321,1
10322,1
10323,1
10324,1
10325,1
10326,1
10327,1
10328,1
10331,1
10335,1
10336,1
10337,1
10338,1
10339,1
10340,1
10341,1
10342,1
10343,1
10344,1
10345,1
10346,1
10347,1
10348,1
10349,1
10350,1
10351,1
10352,1
10353,1
10356,1
10357,1
10358,1
10359,1
10360,1
10361,1
10362,1
10363,1
10365,1
10366,1
10367,1
10369,1
10370,1
10371,1
10373,1
10374,1
10375,1
10377,1
10378,1
10379,1
10380,1
10381,1
10382,1
10383,1
10384,1
10385,1
10386,1
10387,1
10388,1
10389,1
10390,1
10391,1
10392,1
10393,1
10394,1
10395,1
10396,1
10397,1
10398,1
10399,1
10401,1
10402,1
10403,1
10404,1
10406,1
10407,1
10408,1
10409,1
10410,1
10412,1
10413,1
10414,1
10415,1
10416,1
10417,1
10418,1
10419,1
10420,1
10421,1
10423,1
10424,1
10425,1
10426,1
10427,1
10428,1
10429,1
10430,1
10431,1
10432,1
10433,1
10434,6
10435,1
10436,1
10437,1
10438,1
10439,1
10440,1
10441,1
10442,1
10444,1
10445,1
10446,1
10447,1
10448,1
10449,1
10450,1
10452,1
10453,1
10454,1
10455,1
10456,1
10457,1
10458,1
10459,5
10461,1
10462,1
10463,1
10464,1
10465,1
10466,6
10467,1
10468,1
10471,1
10472,1
10473,1
10474,1
10475,1
10476,1
10477,1
10478,1
10479,1
10480,1
10481,6
10482,1
10483,1
10484,1
10485,1
10486,1
10487,1
10488,1
10489,1
10490,1
10506,1
10507,1
10508,1
10509,1
10510,1
10511,1
10512,1
10513,1
10514,1
10515,1
10516,1
10517,1
10518,6
10519,1
10520,1
10521,1
10522,6
10523,6
10525,9
10526,6
10527,6
10530,6
10531,1
10532,6
10533,6
10534,1
10535,6
10536,6
10539,6
10540,6
10541,6
10542,6
10543,6
10544,6
10545,6
10546,6
10547,1
10548,6
10549,6
10550,6
10551,6
10552,6
10553,6
10554,6
10555,6
10556,6
10557,6
10558,1
10560,6
10562,6
10563,6
10564,1
10565,6
10566,11
10568,6
10569,6
10570,6
10571,6
10572,6
10573,6
10574,6
10575,6
10576,6
10577,6
10578,6
10579,6
10581,6
10582,6
10583,6
10584,6
10585,6
10586,6
10587,6
10588,6
10590,6
10591,7
10592,6
10593,6
10594,6
10595,6
10596,6
10599,6
10600,6
10601,6
10602,6
10604,6
10608,6
10609,6
10610,6
10611,6
10614,6
10617,1
10618,6
10619,6
10621,6
10622,6
10624,6
10625,6
10626,6
10627,6
10628,6
10630,6
10632,6
10633,6
10634,6
10635,6
10636,6
10637,6
10638,6
10639,6
10640,6
10641,6
10642,6
10644,6
10645,6
10646,6
10647,6
10649,6
10650,6
10651,6
10652,6
10653,6
10654,6
10655,6
10656,6
10657,6
10658,6
10659,6
10660,6
10661,6
10662,6
10663,6
10664,6
10665,6
10666,6
10667,6
10668,6
10669,6
10670,6
10671,6
10672,6
10673,6
10674,6
10675,6
10676,6
10678,6
10679,1
10680,6
10681,1
10683,6
10684,6
10685,1
10686,1
10687,1
10688,1
10689,1
10690,1
10691,1
10692,1
10693,6
10695,6
10696,6
10698,6
10700,6
10701,6
10702,6
10703,6
10704,6
10705,1
10707,6
10708,6
10709,1
10710,1
10711,6
10712,6
10713,6
10714,6
10715,5
10716,6
10717,6
10718,6
10719,6
10720,6
10721,6
10722,6
10723,6
10724,6
10725,6
10726,6
10727,6
10728,6
10729,6
10730,6
10731,6
10732,6
10733,6
10734,6
10735,6
10736,6
10737,6
10738,6
10739,6
10740,6
10741,1
10742,6
10743,1
10744,6
10745,6
10746,5
10747,1
10748,6
10749,6
10750,5
10751,6
10752,5
10753,6
10754,6
10755,6
10756,6
10757,6
10758,6
10759,6
10760,5
10761,6
10762,6
10763,6
10764,6
10765,6
10766,6
10767,6
10768,6
10769,6
10770,6
10771,6
10772,6
10773,6
10774,6
10775,6
10776,6
10777,6
10778,6
10779,6
10780,6
10781,6
10782,6
10785,6
10786,6
10787,6
10788,6
10789,4
10790,6
10791,6
10792,6
10793,6
10794,6
10795,6
10796,6
10797,6
10798,6
10799,6
10800,6
10801,6
10802,6
10804,6
10805,6
10806,6
10807,6
10808,6
10809,6
10810,6
10811,6
10812,6
10813,6
10814,6
10815,6
10816,6
10817,6
10818,6
10819,6
10820,6
10821,6
10822,6
10823,6
10824,6
10825,6
10826,6
10827,6
10828,6
10829,6
10830,6
10831,6
10832,6
10833,6
10834,6
10835,6
10837,6
10838,6
10839,6
10840,6
10841,6
10842,6
10843,6
10844,6
10845,6
10846,6
10848,6
10849,6
10851,6
10852,6
10853,6
10854,6
10855,6
10856,6
10859,6
10861,6
10863,6
10864,6
10866,6
10867,6
10868,6
10870,6
10871,6
10872,6
10874,6
10876,6
10877,6
10878,6
10880,6
10881,6
10882,6
10884,1
10885,6
10886,6
10887,6
10888,6
10890,6
10891,6
10893,6
10894,6
10895,6
10896,6
10897,6
10898,6
10899,6
10900,6
10903,6
10904,6
10905,6
10907,6
10908,5
10909,6
10911,6
10912,6
10916,6
10917,6
10918,6
10921,6
10922,6
10925,6
10927,6
10928,6
10930,6
10933,6
10934,6
10935,6
10936,6
10937,6
10943,6
10945,6
10982,6
10983,6
11034,6
11036,6
11043,6
11044,6
11063,5
11067,6
11068,6
11069,6
11070,6
11071,6
11075,6
11076,6
11077,6
11078,6
11081,6
11082,6
11084,6
11085,6
11086,6
11087,6
11097,6
11098,6
11103,6
11104,6
11105,6
11106,6
11108,6
11109,6
11111,6
11113,6
11114,6
11129,6
11167,4
11176,7
11177,6
11196,6
11197,6
11206,6
11216,6
11217,6
11218,6
11219,6
11220,6
11221,6
11222,6
11223,6
11224,6
11226,6
11227,6
11228,6
11229,6
11230,6
11231,6
11232,6
11233,6
11234,6
11235,6
11236,6
11237,6
11238,6
11239,6
11240,6
11241,6
11246,6
11247,6
11248,5
11249,6
11250,6
11251,6
11252,6
11253,6
11254,6
11255,6
11256,6
11257,6
11258,6
11259,6
11260,3
11261,6
11262,6
11264,6
11266,6
11267,3
11271,6
11272,6
11274,3
11275,5
11276,6
11278,3
11281,3
11282,6
11290,3
11291,6
11292,3
11293,3
11294,3
11295,3
11296,3
11298,3
11299,3
11300,3
11301,3
11331,5
11342,5
11348,5
11349,3
11350,3
11366,5
11393,10
11458,5
11471,10
11474,5
11478,10
11479,3
11480,10
11481,10
11483,10
11485,10
11486,10
11488,10
11491,6
11492,10
11494,10
11495,10
11506,10
11511,10
11517,10
11525,8
11532,10
11534,10
11535,10
11536,10
11538,10
11540,10
11541,10
11564,10
11566,10
11567,10
11568,10
11569,10
11572,10
11573,10
11574,10
11575,10
11576,10
11577,10
11578,10
11579,10
11580,10
11583,10
11584,10
11585,10
11586,10
11587,10
11588,10
11589,8
11591,10
11592,10
11593,10
11594,10
11595,10
11596,10
11597,10
11598,10
11599,8
11600,8
11601,4
11602,8
11603,8
11604,8
11606,8
11607,8
11608,8
11609,10
11610,3
11611,8
11612,8
11613,8
11614,8
11615,8
11616,8
11618,8
11619,8
11620,8
11621,8
11622,8
11623,8
11624,7
11625,8
11626,3
11627,8
11628,10
11629,10
11630,3
11631,5
11632,3
11633,3
11634,3
11635,3
11636,3
11637,3
11638,7
11640,3
11642,3
11643,3
11644,3
11645,3
11646,8
11647,3
11648,3
11649,3
11651,3
11652,10
11653,8
11654,3
11657,10
11658,3
11659,2
11660,3
11662,3
11663,10
11664,10
11665,3
11666,3
11667,3
11668,3
11669,3
11670,3
11671,3
11672,3
11673,3
11674,3
11675,3
11676,3
11677,3
11678,3
11679,3
11680,3
11683,6
11684,6
11685,6
11686,5
11687,5
11688,5
11689,5
11690,3
11691,3
11692,3
11693,3
11694,5
11695,3
11696,3
11697,3
11698,3
11699,3
11700,3
11701,3
11702,5
11703,5
11704,5
11705,5
11706,5
11707,5
11708,5
11709,5
11710,5
11711,5
11712,5
11713,5
11714,5
11715,5
11716,5
11717,5
11718,5
11719,5
11720,5
11721,5
11722,5
11723,5
11724,5
11725,5
11726,3
11727,3
11728,3
11729,3
11730,3
11731,3
11732,3
11733,3
11734,3
11735,3
11736,7
11737,7
11738,5
11739,5
11740,5
11742,5
11743,5
11744,5
11745,2
11747,5
11748,5
11749,5
11750,5
11751,5
11752,3
11754,5
11755,5
11756,5
11757,5
11758,5
11759,5
11761,5
11762,5
11763,5
11764,5
11765,5
11766,5
11767,1
11768,5
11769,5
11770,5
11771,5
11772,5
11773,5
11774,5
11775,5
11776,5
11777,1
11778,1
11779,1
11780,1
11781,5
11782,1
11784,1
11785,1
11786,1
11787,1
11788,1
11789,1
11790,1
11791,6
11792,6
11793,6
11794,6
11795,1
11797,2
11798,6
11799,1
11800,1
11801,6
11802,6
11803,6
11804,1
11805,1
11806,1
11807,1
11808,1
11809,1
11810,1
11811,1
11812,1
11813,1
11814,1
11815,1
11816,1
11817,1
11818,1
11819,1
11820,1
11821,1
11822,1
11823,1
11824,1
11825,1
11827,1
11828,1
11829,1
11830,1
11831,1
11832,1
11833,1
11834,1
11835,1
11836,1
11837,1
11838,1
11839,1
11840,1
11841,1
11843,1
11844,1
11845,1
11846,1
11847,1
11848,1
11849,1
11850,1
11851,1
11852,1
11853,1
11854,1
11855,1
11856,1
11858,1
11859,1
11860,1
11861,1
11862,1
11863,1
11864,1
11866,1
11868,1
11869,1
11870,1
11871,2
11872,1
11873,1
11875,1
11876,1
11877,1
11878,1
11879,1
11880,1
11881,1
11882,1
11883,1
11888,1
11891,1
11892,1
11893,1
11894,1
11895,1
11897,1
11898,1
11899,1
11900,1
11901,1
11902,1
11903,1
11904,1
11905,1
11906,1
11907,1
11908,1
11909,1
11910,1
11911,1
11912,1
11913,2
11914,2
11915,1
11916,1
11917,2
11918,1
11919,1
11920,1
11921,1
11922,1
11923,2
11924,2
11925,2
11926,2
11927,2
11928,2
11929,2
11930,2
11931,2
11932,2
11933,2
11934,2
11935,2
11936,2
11937,2
11938,2
11939,2
11940,2
11941,2
11942,1
11943,1
11944,5
11945,1
11946,1
11947,1
11948,1
11949,1
11950,1
11951,1
11952,1
11953,1
11954,1
11955,1
11956,1
11957,1
11959,7
11961,1
11962,1
11963,1
11964,1
11965,1
11966,1
11967,1
11968,1
11969,1
11970,5
11971,1
11972,1
11973,1
11974,1
11975,1
11976,1
11977,1
11978,1
11979,1
11980,1
11981,1
11982,1
11983,1
11984,1
11985,1
11986,1
11987,1
11988,1
11989,1
11990,1
11991,1
11992,1
11993,1
11994,1
11995,2
11996,1
11997,1
11998,1
11999,1
12000,1
12001,1
12002,1
12003,1
12004,1
12005,1
12006,1
12007,1
12008,1
12009,1
12010,1
12011,1
12012,1
12013,1
12014,1
12015,1
12016,1
12017,2
12018,1
12020,1
12021,1
12022,1
12023,1
12025,5
12026,1
12027,2
12028,1
12029,1
12030,1
12031,5
12032,5
12033,1
12034,5
12035,5
12036,2
12037,5
12038,5
12039,5
12040,5
12041,5
12042,5
12043,5
12044,2
12045,2
12046,2
12047,2
12048,2
12049,2
12050,2
12051,2
12052,2
12053,2
12054,5
12055,2
12056,5
12058,5
12059,5
12060,5
12061,5
12062,11
12063,5
12064,5
12065,11
12066,2
12067,5
12068,7
12069,7
12070,9
12071,2
12072,4
12073,2
12074,4
12075,4
12077,9
12078,7
12079,7
12080,8
12081,9
12082,9
12083,9
12084,9
12085,8
12086,8
12087,9
12088,8
12089,7
12090,8
12091,8
12092,8
12093,4
12094,2
12095,3
12096,8
12097,8
12098,2
12099,8
12100,8
12101,8
12102,8
12103,8
12104,8
12105,8
12106,8
12107,8
12108,8
12109,8
12110,8
12111,8
12112,8
12114,8
12116,8
12117,8
12118,8
12119,8
12120,8
12121,8
12122,8
12123,8
12124,8
12125,8
12126,8
12127,8
12128,8
12129,8
12130,8
12131,8
12132,8
12133,8
12135,8
12136,8
12137,8
12138,8
12139,8
12140,8
12141,8
12142,8
12143,8
12144,8
12145,8
12146,8
12147,8
12148,8
12149,8
12150,8
12151,8
12152,8
12153,8
12154,8
12155,5
12156,8
12157,8
12158,8
12160,4
12161,4
12162,2
12164,8
12165,8
12167,8
12168,8
12169,8
12170,8
12171,8
12172,8
12173,8
12174,8
12175,8
12176,8
12177,8
12178,8
12179,8
12180,8
12181,8
12191,8
12192,8
12193,8
12194,8
12195,8
12196,8
12197,8
12198,8
12199,8
12200,8
12201,8
12202,8
12203,8
12204,8
12205,8
12206,8
12207,8
12208,8
12209,8
12210,8
12211,8
12212,2
12213,2
12214,2
12215,2
12216,2
12217,2
12218,2
12219,2
12220,2
12221,2
12222,2
12224,2
12225,2
12226,2
12227,2
12229,1
12230,8
12231,8
12232,8
12233,8
12234,8
12235,8
12236,8
12237,8
12238,8
12239,8
12240,8
12241,8
12242,8
12243,8
12244,8
12245,8
12246,8
12247,8
12248,8
12249,8
12250,8
12251,8
12252,8
12253,8
12254,8
12255,8
12256,8
12257,8
12258,8
12259,8
12260,8
12261,8
12262,8
12263,8
12264,8
12265,8
12266,2
12267,2
12268,8
12269,8
12270,8
12271,8
12272,4
12273,8
12274,2
12275,8
12276,8
12277,8
12278,2
12279,2
12280,2
12281,2
12282,2
12283,2
12284,2
12285,2
12286,2
12287,2
12288,2
12289,2
12290,2
12291,2
12292,2
12293,2
12294,2
12296,2
12297,2
12298,2
12299,2
12300,2
12301,2
12302,2
12303,8
12304,2
12305,8
12306,2
12307,2
12308,2
12309,2
12310,2
12311,2
12312,2
12313,2
12314,2
12315,2
12316,2
12317,2
12318,2
12319,2
12320,2
12321,2
12322,2
12323,2
12324,2
12325,2
12326,2
12327,2
12328,2
12329,2
12330,2
12332,2
12333,2
12334,2
12335,2
12336,2
12338,8
12339,2
12340,2
12341,2
12342,2
12344,2
12345,2
12346,2
12347,1
12348,2
12349,2
12350,8
12351,2
12352,2
12353,2
12354,2
12355,2
12356,2
12357,8
12358,8
12359,2
12360,2
12361,2
12363,2
12364,8
12365,8
12366,8
12367,8
12368,2
12369,2
12370,2
12371,2
12372,8
12373,2
12374,2
12375,2
12376,2
12377,1
12378,2
12379,2
12380,2
12381,8
12382,8
12383,8
12384,8
12385,8
12386,8
12387,8
12388,8
12389,8
12390,8
12391,8
12393,8
12395,8
12397,8
12398,8
12399,8
12400,8
12401,8
12402,8
12403,8
12404,8
12405,8
12406,8
12407,8
12408,8
12409,8
12410,8
12411,8
12412,8
12413,8
12417,8
12418,8
12419,8
12420,8
12421,7
12531,5
12584,8
12585,8
12589,8
12601,8
12602,8
12603,8
12604,8
12606,8
12607,8
12609,8
12612,8
12613,8
12614,8
12615,8
12616,8
12643,8
12691,3
12717,8
12720,2
12725,3
12726,2
12727,8
12737,8
12750,10
12756,8
12811,4
12849,8
12984,7
13663,1
14642,10
14660,8
14692,10
14723,5
14792,5
14796,5
15287,6
15456,10
15481,7
15567,5
15875,4
162,4
16800,8
19428,2
19477,6
19897,9
21156,1
2159,1
21835,1
21842,1
219,8
22762,1
22763,1
22764,1
22765,1
22766,1
22775,6
22778,1
22779,6
22780,6
22781,6
22782,6
22783,6
22786,6
22787,6
22789,6
22921,3
22923,6
22929,6
22931,6
22932,6
22933,6
22936,6
22937,6
22938,6
22940,6
22944,6
22945,6
22946,6
22947,6
22949,6
22950,6
22953,6
22954,6
22955,6
22956,6
22957,6
2639,3
3250,5
3364,8
3365,2
3377,8
3494,8
3556,8
3576,5
3585,8
3590,2
3614,8
3617,8
3619,8
3621,8
3651,8
3664,8
3665,8
3666,8
3667,8
3668,8
3669,8
3676,8
3680,8
3685,8
3686,8
3687,8
3690,8
3691,8
3692,8
3693,8
3694,8
3695,8
3696,8
3697,8
3699,8
3701,8
3707,8
3708,8
3709,8
3710,8
3711,8
3715,8
3717,8
3719,11
3737,8
3746,8
3783,8
3789,8
3805,8
3819,8
3831,11
3834,8
3838,8
3839,8
3840,2
3841,8
3842,8
3843,8
3844,8
3845,8
3846,8
3847,8
3849,8
3850,8
3851,8
3856,8
3857,8
3858,8
3860,8
3861,8
3862,8
3863,8
3864,8
3865,8
3866,8
3867,8
3868,8
3869,8
3870,8
3871,8
3872,8
3873,8
3874,8
3875,8
3876,8
3877,8
3878,8
3879,8
3880,8
3881,8
3882,8
3883,8
3884,8
3885,8
3886,8
3887,8
3888,8
3889,8
3890,8
3891,8
3892,8
3893,8
3894,8
3895,8
3896,8
3897,8
3898,8
3899,8
3900,8
3901,8
3902,8
3904,8
3905,8
3906,8
3907,8
3909,8
3910,8
3911,8
3912,8
3913,8
3914,8
3915,8
3916,8
3917,8
3918,8
3919,8
3921,8
3925,8
3930,8
3932,8
3937,8
3938,8
3941,8
3945,8
3951,8
3952,8
3960,8
3961,8
3964,8
3965,8
3995,6
4049,8
4051,8
4065,4
4081,8
4417,2
5034,1
6010,9
7209,2
7329,4
9825,1
9826,1
9842,9
9849,9
9854,6
9866,5
9867,8
9890,1
12057,2
12076,4
11783,1
11887,1
10496,1
10274,1
10493,6
10501,1
10497,1
10333,1
10502,1
10334,1
10500,1
10495,1
10494,1
10498,1
10492,1
10499,1
10503,1
10505,6
10491,1
10629,6
10631,6
